periodo,periodo_fecha,categoria_ramo,prima_neta,var_pct_mom
2024-01,2024-01-01,Cumplimiento,7205884305.0,-25.737571939766035
2024-01,2024-01-01,Daños Materiales,7527872554.659997,-1.5165622950416457
2024-01,2024-01-01,Exequias,582392749.0,23.807771271614463
2024-01,2024-01-01,Hogar,5983293706.0,0.5854839671684653
2024-01,2024-01-01,Ingeniería,471349460.0,243.14547045530855
2024-01,2024-01-01,Manejo / Riesgos Financieros,357427190.0,-6.7112593293389144
2024-01,2024-01-01,Otros,4397129969.08,-491.9633896650211
2024-01,2024-01-01,PYME / Multiriesgo,2445761328.439984,-33.142134186417216
2024-01,2024-01-01,Responsabilidad Civil,1821735616.1799998,-27.155629346865485
2024-01,2024-01-01,SOAT,4252454600.0,3.8603794836229
2024-01,2024-01-01,Salud,3555622510.0,-19.94268650442994
2024-01,2024-01-01,Transporte / Navegación,914760496.0,271.9313352740384
2024-01,2024-01-01,Vida,11569057965.84119,2.0039474418789727
2024-02,2024-02-01,Accidentes Personales,1327003052.0,86.23664717186534
2024-02,2024-02-01,Asistencias,255593614.0,-17.64175316861616
2024-02,2024-02-01,Autos,52545758813.0,-2.6688816714427466
2024-02,2024-02-01,Cumplimiento,1983484201.0,-72.47410425915797
2024-02,2024-02-01,Daños Materiales,7355454095.099998,-2.290400884287902
2024-02,2024-02-01,Exequias,465825467.0,-20.015235800952603
2024-02,2024-02-01,Hogar,6359084126.0,6.28066142939232
2024-02,2024-02-01,Ingeniería,195841925.0,-58.450801025633936
2024-02,2024-02-01,Manejo / Riesgos Financieros,315351511.0,-11.771818198833728
2024-02,2024-02-01,Otros,1165860193.0,-73.48588280996547
2024-02,2024-02-01,PYME / Multiriesgo,2570136110.3599973,5.08531967014727
2024-02,2024-02-01,Responsabilidad Civil,1633118529.46,-10.353702537556531
2024-02,2024-02-01,SOAT,4169784800.0,-1.9440489735034427
2024-02,2024-02-01,Salud,2992390288.0,-15.840607950251728
2024-02,2024-02-01,Transporte / Navegación,264117476.0,-71.12714451980445
2024-02,2024-02-01,Vida,11243161830.121204,-2.8169634613485983
2024-03,2024-03-01,Accidentes Personales,323062306.0,-75.65474280461564
2024-03,2024-03-01,Asistencias,517388951.0,102.42639982390172
2024-03,2024-03-01,Autos,50209959242.0,-4.445267560627775
2024-03,2024-03-01,Cumplimiento,3752688566.0,89.19679643064624
2024-03,2024-03-01,Daños Materiales,6334288614.899998,-13.883105883024582
2024-03,2024-03-01,Exequias,806230953.0,73.0757569336586
2024-03,2024-03-01,Hogar,6468515707.0,1.7208701572695606
2024-03,2024-03-01,Ingeniería,525849401.0,168.50706303055384
2024-03,2024-03-01,Manejo / Riesgos Financieros,198821843.0,-36.95231002080088
2024-03,2024-03-01,Otros,1156354402.0,-0.8153457041482515
2024-03,2024-03-01,PYME / Multiriesgo,3196521197.4900017,24.37166983511496
2024-03,2024-03-01,Responsabilidad Civil,1528384780.95,-6.4131137220413965
2024-03,2024-03-01,SOAT,3829664400.0,-8.156785453292459
2024-03,2024-03-01,Salud,4133407023.0,38.130612158971154
2024-03,2024-03-01,Transporte / Navegación,159084259.0,-39.76761348423609
2024-03,2024-03-01,Vida,11711767194.041529,4.167914426570807
2024-04,2024-04-01,Accidentes Personales,265691182.0,-17.75853231233977
2024-04,2024-04-01,Asistencias,406082280.0,-21.513151911123817
2024-04,2024-04-01,Autos,49394530730.0,-1.624037390808919
2024-04,2024-04-01,Cumplimiento,7621863221.0,103.10407024061053
2024-04,2024-04-01,Daños Materiales,6841162569.619997,8.002065986189688
2024-04,2024-04-01,Exequias,639763993.0,-20.64755258782529
2024-04,2024-04-01,Hogar,6326267325.0,-2.199088453106235
2024-04,2024-04-01,Ingeniería,190107949.0,-63.84745354117081
2024-04,2024-04-01,Manejo / Riesgos Financieros,513245505.0,158.14341988571147
2024-04,2024-04-01,Otros,551021138.63,-52.348420373808544
2024-04,2024-04-01,PYME / Multiriesgo,3496609807.9600234,9.38797498685946
2024-04,2024-04-01,Responsabilidad Civil,1008756192.4799999,-33.998545061866814
2024-04,2024-04-01,SOAT,4021892100.0,5.019439823499949
2024-04,2024-04-01,Salud,4341010144.0,5.022566610179191
2024-04,2024-04-01,Transporte / Navegación,273245421.0,71.76144435509487
2024-04,2024-04-01,Vida,10166265081.841152,-13.196147828029448
2024-05,2024-05-01,Accidentes Personales,231603742.0,-12.829721989042152
2024-05,2024-05-01,Asistencias,305978705.0,-24.651057169990274
2024-05,2024-05-01,Autos,51871869779.0,5.015411650616963
2024-05,2024-05-01,Cumplimiento,8390989143.0,10.09104860188097
2024-05,2024-05-01,Daños Materiales,7725805501.479994,12.931178332005878
2024-05,2024-05-01,Exequias,295484692.0,-53.81348509246284
2024-05,2024-05-01,Hogar,6371551401.0,0.7158103455579212
2024-05,2024-05-01,Ingeniería,230783050.0,21.395791819309995
