periodo,periodo_fecha,prima_neta,var_abs_mom,var_pct_mom,en_curso
2023-08,2023-08-01,90244147327.03706,,,False
2023-09,2023-09-01,91516610289.52733,1272462962.490265,1.4100226997313836,False
2023-10,2023-10-01,95374417253.25064,3857806963.7233124,4.215417235754826,False
2023-11,2023-11-01,107363482389.28131,11989065136.03067,12.57052517992927,False
2023-12,2023-12-01,112077173716.02127,4713691326.73996,4.390404653277669,False
2024-01,2024-01-01,106094219285.20117,-5982954430.820099,-5.338245275509513,False
2024-02,2024-02-01,94841966031.0412,-11252253254.159973,-10.605906080435734,False
2024-03,2024-03-01,94851988840.38153,10022809.340332031,0.010567905495606489,False
2024-04,2024-04-01,96057514640.53117,1205525800.149643,1.270954689393311,False
2024-05,2024-05-01,101068739145.19122,5011224504.660049,5.216900024337678,False
2024-06,2024-06-01,97779898988.70186,-3288840156.4893646,-3.254062714450956,False
2024-07,2024-07-01,99002216617.2523,1222317628.5504456,1.2500704553721098,False
2024-08,2024-08-01,108592439825.66115,9590223208.408844,9.686877260016447,False
2024-09,2024-09-01,96967920704.98138,-11624519120.679764,-10.704722298663016,False
2024-10,2024-10-01,117704886108.15924,20736965403.177856,21.385387303775172,False
2024-11,2024-11-01,116377507435.30951,-1327378672.8497314,-1.1277175627441682,False
2024-12,2024-12-01,112742324604.06937,-3635182831.240143,-3.123612896814121,False
2025-01,2025-01-01,105875465201.72891,-6866859402.340454,-6.090755558265826,False
2025-02,2025-02-01,109384396147.57901,3508930945.8500977,3.3142059297348814,False
2025-03,2025-03-01,96383737429.20941,-13000658718.369598,-11.885295504881155,False
2025-04,2025-04-01,94188245389.20961,-2195492039.9998016,-2.2778656426477695,False
2025-05,2025-05-01,104190014426.0891,10001769036.879486,10.618914276988223,False
2025-06,2025-06-01,108755375084.23936,4565360658.150269,4.381764109831154,False
2025-07,2025-07-01,119049571533.78937,10294196449.550003,9.465459929292109,False
2025-08,2025-08-01,121238506825.34912,2188935291.5597534,1.838675489007091,False
2025-09,2025-09-01,120192760810.03914,-1045746015.3099823,-0.8625527010295841,False
2025-10,2025-10-01,110703381414.58824,-9489379395.450897,-7.8951338928378245,False
2025-11,2025-11-01,123178654163.06828,12475272748.480042,11.26909818748867,False
2025-12,2025-12-01,121510763202.04839,-1667890961.0198975,-1.3540422018346487,False
2026-01,2026-01-01,116363028660.00082,-5147734542.047562,-4.236443263456335,False
2026-02,2026-02-01,132842449516.15817,16479420856.157349,14.162076259039535,False
2026-03,2026-03-01,134453148743.56822,1610699227.4100494,1.212488352387786,False
2026-04,2026-04-01,126748713137.5316,-7704435606.036621,-5.730200949574393,False
2026-05,2026-05-01,128481738415.34995,1733025277.818344,1.3672922074860816,False
2026-06,2026-06-01,144546956166.40823,16065217751.058289,12.503891953207692,False
2026-07,2026-07-01,137568040448.18826,-6978915718.219971,-4.8281305281763,False
2026-08,2026-08-01,54078637905.5,-83489402542.68826,-60.68953389950522,True
